,File path,Position,Col 1,Col 2,Col 3,Col 4,Col 5,Col 6,Creation time,Time elapsed
2,/home/jmp/data/20170829_circuit/Stereoscope/combo/d1 11am - 430pm/Pos1/img_000000000_YFP_000.tif,Pos1,,0.0577672520963,,0.0579477104865,,0.059730929045,2017-08-30 11:09:01,0.0008333333333333334
3,/home/jmp/data/20170829_circuit/Stereoscope/combo/d1 11am - 430pm/Pos1/img_000000000_RFP_000.tif,Pos1,0.0755560247748,,0.0776028241757,,0.08479754571380001,,2017-08-30 11:09:01,0.0008333333333333334
6,/home/jmp/data/20170829_circuit/Stereoscope/combo/d1 11am - 430pm/Pos1/img_000000001_RFP_000.tif,Pos1,0.0702472106152,,0.0726436491935,,0.0824732267218,,2017-08-30 11:14:06,0.08555555555555555
7,/home/jmp/data/20170829_circuit/Stereoscope/combo/d1 11am - 430pm/Pos1/img_000000001_YFP_000.tif,Pos1,,0.057887989347699995,,0.05741095523109999,,0.0597643300263,2017-08-30 11:14:07,0.08583333333333333
10,/home/jmp/data/20170829_circuit/Stereoscope/combo/d1 11am - 430pm/Pos1/img_000000002_RFP_000.tif,Pos1,0.0813883116258,,0.08423150632269999,,0.0929737145582,,2017-08-30 11:19:13,0.17083333333333334
11,/home/jmp/data/20170829_circuit/Stereoscope/combo/d1 11am - 430pm/Pos1/img_000000002_YFP_000.tif,Pos1,,0.05802609448130001,,0.058113162417099996,,0.060693968774399996,2017-08-30 11:19:14,0.1711111111111111
14,/home/jmp/data/20170829_circuit/Stereoscope/combo/d1 11am - 430pm/Pos1/img_000000003_RFP_000.tif,Pos1,0.0795574305803,,0.0809887924599,,0.08969561077230001,,2017-08-30 11:24:19,0.25583333333333336
15,/home/jmp/data/20170829_circuit/Stereoscope/combo/d1 11am - 430pm/Pos1/img_000000003_YFP_000.tif,Pos1,,0.0571749159029,,0.0519857035055,,0.060314465313,2017-08-30 11:24:20,0.2561111111111111
18,/home/jmp/data/20170829_circuit/Stereoscope/combo/d1 11am - 430pm/Pos1/img_000000004_RFP_000.tif,Pos1,0.0720138441278,,0.073816301775,,0.0805102808225,,2017-08-30 11:29:26,0.3411111111111111
19,/home/jmp/data/20170829_circuit/Stereoscope/combo/d1 11am - 430pm/Pos1/img_000000004_YFP_000.tif,Pos1,,0.058036720001600005,,0.052135282018599995,,0.0612543115006,2017-08-30 11:29:26,0.3411111111111111
22,/home/jmp/data/20170829_circuit/Stereoscope/combo/d1 11am - 430pm/Pos1/img_000000005_RFP_000.tif,Pos1,0.0819568154709,,0.08626288791339999,,0.0950467665374,,2017-08-30 11:34:32,0.4261111111111111
23,/home/jmp/data/20170829_circuit/Stereoscope/combo/d1 11am - 430pm/Pos1/img_000000005_YFP_000.tif,Pos1,,0.0578747751176,,0.058586056332900004,,0.0634802188963,2017-08-30 11:34:33,0.4263888888888889
26,/home/jmp/data/20170829_circuit/Stereoscope/combo/d1 11am - 430pm/Pos1/img_000000006_YFP_000.tif,Pos1,,0.05801306856959999,,0.0581727312061,,0.06363005496780001,2017-08-30 11:39:39,0.5113888888888889
27,/home/jmp/data/20170829_circuit/Stereoscope/combo/d1 11am - 430pm/Pos1/img_000000006_RFP_000.tif,Pos1,0.0828876522493,,0.0856053331717,,0.0946125172264,,2017-08-30 11:39:39,0.5113888888888889
30,/home/jmp/data/20170829_circuit/Stereoscope/combo/d1 11am - 430pm/Pos1/img_000000007_YFP_000.tif,Pos1,,0.05802693240540001,,0.058185680942900005,,0.0645516191741,2017-08-30 11:44:45,0.5963888888888889
31,/home/jmp/data/20170829_circuit/Stereoscope/combo/d1 11am - 430pm/Pos1/img_000000007_RFP_000.tif,Pos1,0.07597913240130001,,0.0799499237571,,0.0875116039072,,2017-08-30 11:44:45,0.5963888888888889
34,/home/jmp/data/20170829_circuit/Stereoscope/combo/d1 11am - 430pm/Pos1/img_000000008_YFP_000.tif,Pos1,,0.057471464874200004,,0.057092822360199996,,0.064706025741,2017-08-30 11:49:51,0.6813888888888889
35,/home/jmp/data/20170829_circuit/Stereoscope/combo/d1 11am - 430pm/Pos1/img_000000008_RFP_000.tif,Pos1,0.0767426940715,,0.0787222423374,,0.086815070405,,2017-08-30 11:49:51,0.6813888888888889
38,/home/jmp/data/20170829_circuit/Stereoscope/combo/d1 11am - 430pm/Pos1/img_000000009_RFP_000.tif,Pos1,0.0802882317968,,0.08287293203219999,,0.09200642322119999,,2017-08-30 11:54:57,0.7663888888888889
39,/home/jmp/data/20170829_circuit/Stereoscope/combo/d1 11am - 430pm/Pos1/img_000000009_YFP_000.tif,Pos1,,0.05738294961490001,,0.0522279435526,,0.065541055236,2017-08-30 11:54:58,0.7666666666666667
42,/home/jmp/data/20170829_circuit/Stereoscope/combo/d1 11am - 430pm/Pos1/img_000000010_RFP_000.tif,Pos1,0.0835385781546,,0.0862982778366,,0.09578387383880001,,2017-08-30 12:00:04,0.8516666666666667
43,/home/jmp/data/20170829_circuit/Stereoscope/combo/d1 11am - 430pm/Pos1/img_000000010_YFP_000.tif,Pos1,,0.058135329319400006,,0.057729290820500004,,0.067776332147,2017-08-30 12:00:04,0.8516666666666667
46,/home/jmp/data/20170829_circuit/Stereoscope/combo/d1 11am - 430pm/Pos1/img_000000011_YFP_000.tif,Pos1,,0.0577057027594,,0.057384331537199997,,0.0680111794316,2017-08-30 12:05:10,0.9366666666666666
